hotel,is_canceled,lead_time,adr,stays_total_nights,stay_length,booking_changes_cat,days_in_waiting_list_cat,customer_fidelity,lead_time_cat,adr_cat,adults,children,babies,total_guests,arrival_year,arrival_month,arrival_day,arrival_month_index,arrival_ym,market_segment,deposit_type,country,motivation,reserved_room_type,customer_type,agent,company
Resort Hotel,0,7,75,1,short,none,none,normal,<1-month,low,1,0,0,1,2015,July,1,7,2015-07,Direct,No Deposit,GBR,work,A,Transient,NULL,NULL
Resort Hotel,0,13,75,1,short,none,none,normal,<1-month,low,1,0,0,1,2015,July,1,7,2015-07,Corporate,No Deposit,GBR,work,A,Transient,304,NULL
Resort Hotel,0,14,98,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,GBR,work,A,Transient,240,NULL
Resort Hotel,0,14,98,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,GBR,work,A,Transient,240,NULL
Resort Hotel,0,0,107,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Direct,No Deposit,PRT,work,C,Transient,NULL,NULL
Resort Hotel,0,9,103,2,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Direct,No Deposit,PRT,work,C,Transient,303,NULL
Resort Hotel,1,85,82,3,middle,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,PRT,work,A,Transient,240,NULL
Resort Hotel,1,75,105.5,3,middle,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Offline TA/TO,No Deposit,PRT,work,D,Transient,15,NULL
Resort Hotel,1,23,123,4,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,PRT,work,E,Transient,240,NULL
Resort Hotel,0,35,145,4,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,PRT,work,D,Transient,240,NULL
Resort Hotel,0,68,97,4,middle,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,USA,work,D,Transient,240,NULL
Resort Hotel,0,18,154.77,4,middle,little,none,normal,<1-month,high,2,1,0,3,2015,July,1,7,2015-07,Online TA,No Deposit,ESP,familiy,G,Transient,241,NULL
Resort Hotel,0,37,94.71,4,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,PRT,work,E,Transient,241,NULL
Resort Hotel,0,68,97,4,middle,none,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,IRL,work,D,Transient,240,NULL
Resort Hotel,0,37,97.5,4,middle,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Offline TA/TO,No Deposit,PRT,work,E,Contract,8,NULL
Resort Hotel,0,12,88.2,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Online TA,No Deposit,IRL,work,A,Transient,240,NULL
Resort Hotel,0,0,107.42,1,short,none,none,normal,<1-month,normal,2,0,0,2,2015,July,1,7,2015-07,Corporate,No Deposit,FRA,work,A,Transient,NULL,110
Resort Hotel,0,7,153,4,middle,none,none,normal,<1-month,high,2,0,0,2,2015,July,1,7,2015-07,Direct,No Deposit,GBR,work,G,Transient,250,NULL
Resort Hotel,0,37,97.29,5,middle,none,none,normal,<1-month,normal,1,0,0,1,2015,July,1,7,2015-07,Online TA,No Deposit,GBR,work+rest,F,Transient,241,NULL
Resort Hotel,0,72,84.67,6,long,little,none,normal,1-2-months,normal,2,0,0,2,2015,July,1,7,2015-07,Direct,No Deposit,PRT,work+rest,A,Transient,250,NULL
